@RELATION ChicagoTrainingData

@ATTRIBUTE Month REAL
@ATTRIBUTE Date REAL
@ATTRIBUTE Year REAL
@ATTRIBUTE CrimeCount Numeric

@DATA
01,22,2020,3
01,02,2020,2
01,03,2020,4
01,01,2020,7
01,31,2020,1
01,24,2020,2
01,20,2020,2
01,11,2020,1
01,27,2020,1
01,16,2020,1
01,17,2020,1
01,21,2020,1
01,14,2020,3
01,30,2020,1
01,06,2020,2
01,23,2020,1
01,26,2020,1
01,25,2020,1
01,10,2020,1
02,20,2020,6
02,24,2020,5
02,14,2020,1
02,25,2020,5
02,18,2020,7
02,16,2020,3
02,19,2020,2
02,04,2020,3
02,27,2020,4
02,22,2020,5
02,15,2020,2
02,26,2020,4
02,01,2020,10
02,12,2020,1
02,05,2020,2
02,28,2020,4
02,21,2020,3
02,07,2020,1
02,29,2020,3
02,03,2020,2
02,11,2020,1
02,13,2020,1
02,10,2020,1
02,17,2020,1
03,17,2020,23
03,18,2020,469
03,16,2020,21
03,14,2020,13
03,13,2020,12
03,05,2020,1
03,12,2020,11
03,06,2020,5
03,03,2020,4
03,11,2020,7
03,10,2020,5
03,02,2020,3
03,07,2020,4
03,09,2020,3
03,15,2020,2
03,04,2020,2
03,01,2020,4
03,08,2020,1
03,19,2020,217
04,01,2020,145
04,20,2020,1
04,15,2020,2
04,02,2020,46
04,16,2020,1
05,31,2020,4
05,27,2020,1
05,25,2020,1
05,01,2020,1
05,22,2020,1
05,26,2020,1
05,19,2020,1
05,12,2020,2
05,05,2020,1
05,30,2020,2
05,18,2020,1
05,14,2020,1
06,02,2020,1
06,24,2020,2
06,04,2020,3
06,01,2020,4
06,21,2020,1
06,11,2020,1
06,15,2020,1
06,16,2020,1
06,03,2020,1
06,28,2020,1
06,08,2020,1
06,22,2020,3
06,10,2020,1
06,06,2020,1
06,14,2020,1
07,30,2020,7
07,29,2020,8
07,27,2020,4
07,31,2020,8
07,14,2020,4
07,03,2020,3
07,23,2020,4
07,18,2020,6
07,16,2020,3
07,08,2020,4
07,04,2020,1
07,01,2020,2
07,02,2020,1
07,28,2020,6
07,07,2020,1
07,21,2020,4
07,24,2020,7
07,22,2020,5
07,19,2020,4
07,20,2020,4
07,26,2020,3
07,13,2020,3
07,10,2020,1
07,15,2020,1
07,17,2020,3
07,11,2020,3
07,25,2020,2
07,12,2020,1
08,08,2020,14
08,09,2020,580
08,06,2020,7
08,03,2020,3
08,05,2020,6
08,07,2020,7
08,01,2020,1
08,04,2020,1
08,10,2020,198
